Recency,Frequency,Monetary
216,2,921.6300000000001
30,1,171.72
153,3,1095.54
64,1,1127.38
6,12,6030.88
333,1,266.26
32,10,9736.98
364,1,147.09
157,2,1446.18
250,4,481.8
334,1,229.8
157,1,19.799999999999997
6,10,7650.21
183,6,2455.31
40,6,1698.61
121,1,343.5
36,5,1401.8899999999999
153,1,138.94
152,2,628.62
183,2,148.44
32,4,1485.64
99,5,1330.8
160,1,553.13
90,2,2007.44
32,1,449.65999999999997
302,1,538.46
3,6,2535.27
638,1,135.32999999999998
32,5,2498.7599999999998
218,1,689.58
39,2,280.25
275,1,436.06
189,1,90.12
62,1,437.23
161,1,217.2
1,8,2536.88
30,1,473.65000000000003
128,1,265.75
152,1,335.77
40,1,288.5
70,5,1978.96
183,1,196.43
191,4,1071.02
122,1,196.75
667,1,375.65
303,1,940.6700000000001
34,3,258.88
304,1,149.0
33,6,3390.01
281,1,303.61
32,1,344.88
312,1,184.95
91,2,702.86
97,3,1014.54
244,1,324.57
32,5,2417.3
30,4,458.43
32,4,1015.48
3,4,1384.68
163,1,104.76
30,4,1093.68
127,1,298.48
101,3,304.6
92,2,195.15
36,9,4307.32
124,3,554.02
281,1,450.52
213,2,248.07
311,1,576.0
337,1,301.14
66,6,1872.98
64,4,1745.52
32,2,724.76
40,7,5619.63
311,1,453.79
311,3,664.0
160,3,447.64000000000004
163,2,816.0
275,2,418.98
93,1,337.74
124,1,829.4399999999999
68,1,560.67
281,1,63.910000000000004
284,3,583.9000000000001
342,2,364.3
224,1,116.0
68,1,1476.22
189,1,76.32000000000001
37,3,1315.72
2,3,1911.07
67,3,1024.54
156,2,225.39
244,2,3267.84
66,3,734.66
486,1,478.89
30,4,1183.02
188,4,1469.42
3,1,150.6
213,1,128.76
341,1,136.8
30,1,191.04
61,8,4404.57
183,3,1262.1000000000001
152,2,574.07
128,2,1507.32
154,2,181.8
184,2,496.17
101,3,1226.3
342,1,133.25
96,1,158.85
486,1,171.15
578,1,547.1
153,10,3884.94
219,3,1244.3600000000001
425,1,203.1
10,2,1339.2
36,1,85.0
124,2,653.45
36,2,294.12
311,1,162.3
37,4,729.73
96,5,1549.43
245,1,449.12
127,2,460.11
183,1,309.53000000000003
33,1,306.82
40,2,22998.4
152,5,1273.01
155,4,1525.7
131,1,79.2
160,1,91.8
2,1,330.92
65,4,532.96
189,2,714.42
220,1,68.0
215,1,268.44
122,1,564.4300000000001
1,4,1697.8700000000001
184,1,315.06
91,10,21802.68
243,1,635.6800000000001
304,1,270.8
129,1,104.9
7,1,293.96
37,2,298.13
162,1,83.35
32,1,1638.3400000000001
153,3,998.5699999999999
92,1,492.05
70,4,1318.17
97,2,1825.2
101,2,481.24
160,1,244.5
62,1,869.98
90,4,1392.63
122,6,1053.6100000000001
130,2,521.88
192,3,2506.57
70,3,331.26
455,1,289.85
34,2,822.48
275,1,456.23999999999995
36,3,1192.98
130,1,639.64
92,1,254.18
182,1,445.27
667,1,15.0
96,8,874.96
336,1,310.7
303,1,576.0
1,2,491.82
160,2,1281.37
184,1,391.98
64,9,23307.78
183,1,258.13
1,1,113.82
220,2,613.26
100,1,118.95000000000002
193,2,643.84
334,1,208.59
188,1,57.5
213,3,437.71
96,1,132.18
34,14,9479.69
31,2,661.65
156,4,622.16
333,2,527.38
245,2,1064.14
2,2,603.85
37,5,1155.53
160,2,149.64
153,1,354.09000000000003
129,3,3480.1800000000003
121,1,251.02
578,1,343.28000000000003
425,1,114.45000000000002
547,2,371.32000000000005
152,2,396.48
124,3,379.35
62,1,181.09
187,2,446.87
578,1,156.74
121,3,907.58
547,1,56.25
126,1,110.49
30,1,1405.2
333,1,164.68
250,2,862.32
182,1,437.93
90,4,553.4
91,5,878.2
190,1,123.1
308,1,192.23
547,1,270.72
126,4,167.5
698,1,369.5
667,1,127.08
276,1,426.63
2,4,1226.1
7,1,308.82
184,1,145.35
221,1,105.0
5,6,3563.13
343,1,35.8
130,1,325.1
455,1,181.0
333,1,311.0
122,1,418.29
333,1,333.05
183,3,573.92
6,5,1077.83
31,7,2062.4900000000002
122,1,428.89
30,3,695.09
152,2,443.7
100,1,314.1
2,6,1680.95
486,1,307.82000000000005
6,4,1633.49
281,1,209.99
2,2,1638.68
7,2,790.8
455,2,823.55
152,5,1210.65
125,1,242.84
91,1,168.12
33,3,525.8900000000001
182,1,41.989999999999995
183,3,675.3199999999999
2,2,416.07
275,2,1442.6
152,3,12393.7
61,2,941.47
66,1,120.49000000000001
6,1,101.4
5,3,1485.19
153,2,544.95
129,3,407.5
3,9,2203.31
156,3,1415.29
3,26,19403.16
65,2,399.45
182,1,203.1
182,3,810.06
5,1,161.9
163,2,723.35
215,1,518.8
61,1,439.65999999999997
70,3,595.87
31,33,48851.67
284,1,331.24
124,2,548.94
6,9,4345.99
40,1,153.6
131,1,303.00000000000006
302,1,78.45
215,1,437.37
91,1,426.6
40,1,24.95
6,3,466.14000000000004
3,2,406.85
698,2,256.44
94,2,1511.95
281,1,134.8
6,5,860.25
215,2,223.55
7,2,578.18
455,1,372.09
92,3,1071.82
153,1,686.85
31,5,1192.3
342,1,79.2
69,1,130.26
158,2,581.84
1,1,120.33
31,3,711.59
126,1,157.81
61,3,761.3
158,4,1132.79
278,2,1392.8400000000001
188,3,638.44
92,1,302.36
221,1,336.96
215,1,108.38
30,3,1353.74
220,2,611.88
343,1,409.7
71,3,159.18
96,1,161.38
5,2,314.7
6,1,612.78
280,1,232.21
333,1,113.88000000000001
31,4,1309.14
128,1,287.89
40,2,249.84
517,1,289.35
61,2,3533.7200000000003
275,2,666.82
30,14,5523.83
31,2,566.04
215,2,725.18
2,1,620.4
251,1,535.34
36,4,1594.15
160,1,175.2
4,5,1686.04
218,1,75.0
213,1,116.84
2,3,1177.47
158,2,485.09000000000003
34,4,1004.0500000000001
283,1,348.2
215,1,223.49999999999997
31,6,1585.57
341,1,37.4
455,1,441.6
4,12,2104.78
61,2,918.17
96,2,635.31
31,1,73.2
7,4,788.24
93,3,747.7
34,2,626.35
185,1,300.7
62,1,215.83
247,2,2730.88
337,1,2327.0
276,1,338.71000000000004
6,3,620.88
6,7,2402.92
122,4,1533.56
37,1,151.65
39,4,1606.8400000000001
213,1,530.05
182,1,509.4
1,2,385.3
91,3,649.03
156,1,121.11
2,4,926.42
67,11,15447.19
2,1,547.02
342,1,498.15000000000003
341,1,206.7
311,1,183.0
61,2,920.5
99,3,864.86
251,1,167.47
161,2,416.61
36,1,358.2
280,2,542.03
128,2,366.47
486,1,147.39999999999998
40,2,429.5
280,1,347.9
1,9,1445.4
97,5,2615.32
183,1,194.15
6,2,1522.75
64,1,315.72
92,1,152.94
698,1,226.14
245,1,1983.46
160,5,1446.71
247,2,1787.26
159,1,254.96
131,4,2394.36
152,2,314.42
698,1,357.95
254,1,168.3
33,4,1293.0
122,1,424.57
64,1,302.25
93,3,703.34
1,2,692.3
188,1,114.3
217,1,233.22
71,1,827.1800000000001
39,4,616.35
189,2,1600.0
182,1,106.53
99,5,1586.77
3,2,770.89
244,1,328.15
189,1,404.40000000000003
67,1,852.68
162,2,135.9
121,2,326.75
278,2,262.12
129,2,416.02000000000004
92,7,1727.69
578,1,535.6
30,5,991.51
125,14,20637.36
275,1,151.05
218,1,214.79999999999998
248,1,101.10000000000001
275,1,444.29
153,4,738.35
71,2,812.17
40,1,153.9
303,1,204.92000000000002
10,12,3404.21
154,1,29.700000000000003
161,1,102.0
67,2,538.83
121,3,1355.1000000000001
10,8,1520.35
2,4,2512.77
31,5,734.77
4,5,619.22
303,2,804.49
30,2,497.43
66,1,271.04
183,2,367.93
245,1,316.73
333,1,112.75999999999999
190,2,220.1
213,2,1225.44
92,1,1780.59
32,1,175.4
62,3,555.89
30,1,256.1
342,1,119.65
128,7,1576.33
221,1,306.89
62,1,214.69
126,1,535.85
185,1,303.93
120,2,789.8299999999999
578,1,211.8
70,2,167.25
37,1,60.0
4,3,1376.56
578,1,131.5
252,1,50.8
124,1,222.45000000000002
99,3,629.02
31,20,14663.57
339,1,133.56
70,1,302.7
124,8,1466.06
67,1,298.88
184,1,287.4
30,1,184.26
61,3,601.1
243,2,264.72
61,4,2537.31
275,1,170.2
121,1,179.76
216,1,301.32
183,1,230.51
90,1,168469.6
252,1,416.69
184,1,5.9
154,4,1088.7
192,3,1694.28
220,1,208.36
2,8,1587.22
30,1,302.62
158,2,68.0
5,2,440.63
160,2,276.88
69,1,223.95000000000002
163,1,149.41
32,4,824.9300000000001
2,2,395.0
69,4,1311.65
184,2,235.9
308,1,285.7
183,1,144.23000000000002
130,3,684.41
333,1,414.48
71,1,279.3
338,1,9.75
425,1,218.10000000000002
213,3,138.06
97,1,251.6
122,1,777.6
667,1,248.1
213,2,211.8
4,4,1250.3500000000001
91,1,101.69999999999999
161,1,162.7
92,1,293.62
455,1,103.7
188,2,749.41
32,8,3469.85
10,15,7795.37
182,1,244.41
307,1,455.25
247,2,422.91
224,1,1910.4
304,1,376.97
243,1,593.75
152,3,1083.91
667,1,299.40000000000003
32,5,1831.79
158,2,942.08
163,3,922.12
37,2,379.73
69,3,1182.5
10,2,314.11
244,1,133.91
129,2,1075.49
38,9,3085.38
31,2,511.12
425,1,173.7
163,1,557.5600000000001
182,1,124.2
153,3,1185.4
283,1,436.68
34,3,1009.6
66,1,105.84
698,1,233.45
221,1,463.95
338,1,117.68
304,1,213.5
91,6,1919.63
280,1,185.9
92,1,360.16
486,1,120.65
213,1,90.04
213,2,366.18
275,1,528.08
93,1,296.62
1,5,842.48
4,3,1439.47
250,1,75.66
188,1,129.49
3,4,1187.66
66,1,506.19
218,1,210.10000000000002
122,1,1206.3
182,1,83.2
128,2,490.7
129,1,129.45
69,1,333.08
90,6,1618.74
61,2,920.47
246,1,236.78
5,1,255.8
340,2,217.9
62,3,850.85
161,3,387.18
122,1,786.36
213,1,380.6
129,1,487.51
36,1,722.41
1,4,5277.22
219,2,262.8
10,3,1844.38
4,7,3587.44
547,1,123.24
280,1,39.12
364,1,135.39999999999998
304,1,366.78
66,2,145.98
40,4,2022.8600000000001
30,2,309.39
7,9,3865.0
305,1,122.2
67,3,1262.88
3,7,2076.85
486,1,129.75
124,4,921.08
213,7,36992.9
92,2,324.24
162,2,754.96
62,2,329.45
304,1,324.45
67,2,440.1
7,1,112.75
4,6,2121.41
10,6,2646.31
7,5,5733.45
303,2,239.82
129,2,1270.43
67,3,822.84
70,2,680.2
36,5,1504.21
7,5,2222.09
220,1,15.0
343,1,734.4000000000001
153,3,1033.91
578,1,623.75
224,2,583.18
96,6,2137.76
93,1,165.0
70,4,459.57
425,1,272.82
7,9,3054.94
122,1,603.75
101,3,1556.74
6,5,1441.07
183,2,274.85
3,10,4010.88
3,5,2164.87
276,2,836.06
101,4,1249.2
64,1,98.38
91,1,1764.72
667,1,207.5
1,1,223.92000000000002
666,1,2002.4
97,1,239.4
215,1,369.34000000000003
91,3,789.79
246,1,316.62
122,5,1229.41
38,2,1145.6
66,7,2163.62
667,1,130.8
99,4,1800.25
276,1,119.32
94,3,453.23
62,1,388.28
69,1,93.18
10,12,5394.71
667,1,311.25
161,4,777.1500000000001
125,1,300.31
333,1,80.8
30,5,1454.17
40,6,1569.88
311,2,110.38000000000001
5,3,467.78
455,1,414.88
32,1,305.62
38,1,751.9
215,1,332.3
281,1,173.07999999999998
128,1,280.6
68,2,288.42
92,1,149.68
213,1,232.3
246,3,384.55
7,7,1944.07
38,7,1474.8500000000001
96,4,1165.56
216,1,497.61
158,2,775.1800000000001
155,1,15.0
187,1,197.22
334,1,325.91
127,2,121.4
101,2,744.72
278,2,180.85
31,6,2219.68
2,16,8470.8
67,3,934.56
70,2,866.95
7,5,2841.88
188,1,124.57
71,1,332.41
213,1,102.99000000000001
547,1,375.69000000000005
31,2,173.76
122,2,502.8
65,2,153.95
32,1,329.44
127,1,388.36
92,5,6576.74
254,2,1326.13
65,1,111.23
65,5,1367.9
245,1,432.0
245,1,489.41999999999996
219,2,276.73
303,2,429.84000000000003
244,1,194.88
68,2,1228.61
121,4,604.04
61,4,374.94
486,1,145.93
184,1,219.14
547,1,116.08
32,2,389.68
154,1,752.6800000000001
61,1,373.24
61,7,1570.81
243,2,589.1
188,2,295.94
60,2,451.79
93,3,434.4
30,4,1017.0
275,1,208.46
221,3,340.49
667,1,198.08
130,1,391.52
154,4,755.24
7,5,1010.08
92,1,169.79
65,9,4202.02
184,1,252.54
639,1,230.25
130,1,123.35
33,8,1090.6399999999999
157,4,740.6
304,2,207.11
68,7,1383.65
121,1,338.5
5,3,2726.63
183,5,1012.29
6,1,172.1
1,9,1939.8
158,3,773.58
156,2,778.41
131,1,1053.79
91,1,20.8
62,4,910.2
127,4,518.67
283,1,114.84
62,3,507.05
219,1,110.55000000000001
333,1,385.79999999999995
280,1,319.02
213,1,186.12
339,1,397.36
334,1,357.21
61,2,534.38
62,1,384.06
5,3,731.45
2,2,4481.35
2,4,1977.98
61,2,1873.2
181,1,231.93
243,1,126.12
4,4,1029.3
220,1,179.0
275,2,728.71
64,3,1087.02
284,1,78.0
131,1,90.0
90,4,1376.78
128,1,480.46000000000004
124,1,1006.4
121,2,355.91
97,2,250.66
91,1,270.9
153,3,586.33
30,2,797.08
152,5,2164.22
547,1,358.82
122,1,71.0
218,2,56.25
62,3,357.77
158,2,154.82999999999998
342,1,13.2
154,1,146.87
126,1,225.95
97,1,300.29999999999995
129,2,433.53000000000003
91,1,112.4
64,4,822.2
153,1,641.36
187,2,148.35
218,1,642.02
10,2,760.4
97,5,2672.37
191,4,2556.5
30,1,413.75
337,1,498.48
30,2,463.08
61,2,1567.3
220,1,484.12000000000006
455,2,294.43
1,2,711.5
184,6,1139.8
30,5,1826.93
2,5,1587.3500000000001
38,3,841.0799999999999
274,2,378.2
183,1,1366.91
100,1,691.36
244,2,2949.75
125,3,1045.24
91,4,1482.51
30,2,622.5600000000001
2,3,1092.5
122,7,2727.4900000000002
161,2,633.07
101,1,313.15
1,1,263.61
152,2,318.87
61,1,471.0
192,2,665.78
156,4,6209.12
61,3,311.28
101,4,477.47
66,2,527.48
31,2,606.91
3,1,138.32
338,1,345.29999999999995
158,1,298.89
65,4,702.08
101,1,157.09
183,2,1180.73
160,3,2194.9700000000003
303,3,400.0
99,1,380.5
2,5,4605.08
190,1,465.32
120,1,388.68
343,1,409.5
302,1,157.54000000000002
153,1,568.42
7,3,1599.98
30,9,1417.08
34,6,1721.51
334,1,78.75
96,1,308.68
1,3,1239.16
189,1,59.9
5,1,302.62
7,2,317.32
698,1,155.52
153,2,1343.8400000000001
62,1,72.0
61,3,1252.38
1,1,249.74
30,7,2095.13
1,3,190.96
38,1,10.0
61,1,1013.01
455,2,521.66
62,4,2262.93
7,1,461.25
5,3,808.47
486,1,312.90000000000003
62,3,498.07
32,6,1091.14
122,1,114.23
187,6,1147.7
274,2,335.13
215,1,354.15
312,2,426.79
253,1,393.49
62,2,249.36
154,4,911.64
246,1,161.05
312,1,675.0
128,4,1357.29
152,1,213.48
244,1,190.88
66,1,149.89000000000001
667,1,341.9
37,2,244.73000000000002
30,8,1967.6000000000001
5,1,709.44
30,13,4359.81
33,1,318.65
182,1,221.87
364,1,283.28000000000003
188,1,341.96
213,1,102.13
547,1,381.64
486,1,268.86
5,1,384.09000000000003
152,2,197.58
246,2,317.62
4,3,311.48
244,1,111.97999999999999
7,1,246.04
337,1,687.0
33,3,1147.52
341,3,367.94
341,1,127.30000000000001
5,3,944.41
182,1,172.21
253,1,550.8000000000001
1,7,1278.63
30,3,556.95
156,1,107.63999999999999
32,1,309.86
94,3,876.8100000000001
130,5,2361.3
216,1,82.75
156,2,399.5
122,1,2328.84
1,3,1348.75
6,14,2408.46
32,1,2027.94
547,1,450.92
276,2,700.86
92,3,419.01
10,2,702.23
252,1,96.8
276,1,264.9
125,1,175.2
70,2,307.02
5,4,2027.8700000000001
10,2,1387.78
185,2,243.36
33,6,9190.58
187,3,781.36
155,1,155.8
1,5,887.05
30,2,321.3
333,2,394.98
38,2,358.45
126,2,1740.0
343,1,178.22
100,1,119.15
127,1,330.95
188,1,218.92
284,1,150.0
10,6,2662.19
40,2,742.66
153,3,750.87
124,1,117.36
62,4,670.2
220,2,495.77
343,1,105.85
32,10,2199.38
3,22,17101.25
215,1,65.4
212,1,199.29
250,1,227.65
302,3,1145.02
183,1,346.44
6,1,381.6
10,16,20486.0
192,1,145.5
250,1,203.86999999999998
276,2,2431.5
217,1,817.44
91,5,1285.95
275,1,281.62
6,6,6435.38
4,2,541.71
71,3,2200.42
127,2,771.85
1,4,978.38
31,4,685.46
127,1,598.0
61,2,3129.32
130,6,1844.81
698,1,130.85
5,3,1084.65
189,1,449.42
62,1,688.97
93,4,2951.91
7,16,8641.94
158,3,524.9200000000001
153,2,265.76
302,1,175.89
2,1,303.15999999999997
152,2,635.08
121,1,93.89999999999999
187,3,186.42000000000002
64,4,1553.55
250,1,534.24
34,1,1217.64
312,1,68.10000000000001
152,3,938.89
4,11,35824.22
121,1,294.18
184,1,341.99999999999994
455,1,249.86
217,4,1370.5
62,1,300.39
185,3,230.15
61,1,382.56
62,1,212.28
248,1,289.96000000000004
218,1,440.71
189,4,816.47
339,1,259.27
155,3,838.03
95,2,294.40000000000003
1,2,376.64
90,4,1077.82
121,5,1723.93
221,1,374.57
302,2,497.56
61,1,288.0
281,2,288.6
61,1,226.60000000000002
152,2,558.96
189,1,251.75
338,1,658.85
283,1,340.56
252,1,387.31
62,7,5217.0
7,15,49108.16
30,5,1635.27
278,1,208.65
122,1,67.65
3,2,281.02
253,1,153.94
547,1,335.3
61,2,563.65
96,3,845.02
213,2,549.9
220,1,292.11
1,3,1041.13
120,2,516.45
307,1,296.7
252,1,164.4
61,2,897.62
68,1,156.22
62,3,315.02
306,1,1487.6
31,3,925.9
101,1,195.45
157,3,531.0
64,2,235.3
332,1,486.95
124,4,2061.73
40,1,344.14
161,1,75.6
336,2,114.60000000000001
61,2,373.1
37,1,185.65
3,9,1984.96
219,1,143.45999999999998
213,1,178.04
341,1,47.7
67,17,5998.92
247,2,1242.3
224,1,417.81
34,3,1813.4
152,1,320.93
94,2,620.2
93,2,1663.82
303,1,157.9
154,4,1900.8700000000001
67,1,2044.3700000000001
152,2,1231.19
189,1,173.12
183,2,193.42
69,1,107.65
37,7,1718.43
97,2,704.36
162,2,826.5500000000001
337,2,211.05
517,1,326.4
221,3,971.58
31,1,81.44
153,1,527.0500000000001
219,1,400.3
33,5,1384.03
121,1,111.83
33,2,653.23
36,7,2049.36
122,1,208.11
130,1,108.5
3,1,316.99
698,1,101.55
33,4,1077.83
250,3,1008.39
215,1,133.06
62,2,1273.98
122,4,1661.78
62,6,2247.65
33,4,1207.56
161,1,117.55
131,2,990.0
2,2,473.98
6,1,317.59999999999997
31,4,932.6800000000001
126,2,437.19
36,1,326.19
182,2,728.16
6,4,1127.46
121,2,347.75
94,2,844.0
5,3,1098.55
284,1,1177.8400000000001
121,3,706.54
547,1,300.66
4,14,7928.51
1,5,1156.7
30,12,6824.29
190,2,757.29
2,3,2100.63
33,3,3774.58
91,10,2855.21
547,1,142.5
162,2,228.18
157,6,1607.81
67,3,1681.83
341,1,417.95
91,1,485.6
244,1,307.78
39,5,1042.4
62,9,3453.82
158,2,152.4
219,1,156.48
61,6,2643.56
2,6,2266.92
517,1,102.0
246,3,1590.6
97,4,2199.3
251,1,313.28999999999996
182,2,2530.98
30,5,2352.36
96,3,963.74
667,1,303.97
334,1,475.24
126,11,7296.29
1,1,87.39
311,1,779.92
71,3,1111.67
40,1,302.57
182,2,1010.9399999999999
243,3,446.18
90,3,1197.2
65,14,2281.51
65,2,965.1600000000001
698,1,172.54
153,1,712.78
6,1,261.97
248,1,109.33
183,2,1861.8500000000001
31,3,1453.79
36,3,967.07
162,3,830.53
279,1,86.02
190,1,112.41
65,3,1335.28
306,1,16.7
283,1,225.9
4,7,999.54
61,1,106.1
101,2,396.9
66,1,272.41
37,2,500.35
38,7,874.1
5,2,632.4200000000001
39,8,3049.9100000000003
2,19,2871.55
334,2,261.02
184,2,1259.31
215,3,31.46
160,3,387.68
66,3,1579.57
37,5,1995.46
127,1,833.16
121,1,111.05
183,1,35.400000000000006
152,1,114.14
31,3,540.55
32,3,1560.56
1,53,17336.18
100,1,205.48
251,3,367.53
71,3,454.35
667,34,5391.21
158,1,199.5
667,1,208.97
121,2,758.21
33,11,14867.68
3,4,1661.67
131,1,148.21
547,1,252.8
61,4,1261.29
31,3,1923.4
32,2,480.72
2,5,3406.9700000000003
91,2,239.62
128,3,310.96
93,5,988.08
127,3,1097.07
158,1,122.76
425,1,458.92
131,1,133.35000000000002
159,2,304.21999999999997
182,4,717.45
122,2,726.54
305,1,111.35
31,4,473.32
36,1,102.02
157,1,142.1
246,2,235.67000000000002
517,2,434.62
279,1,155.8
308,2,112.19999999999999
60,1,110.38
187,2,426.59000000000003
189,1,72.9
698,1,243.28
312,3,126.75
1,1,193.54999999999998
182,1,336.43
364,1,110.91
2,1,1304.04
183,6,1856.23
183,1,224.76
311,1,207.50000000000003
39,3,2076.7200000000003
667,1,244.08
159,1,78.25999999999999
253,1,196.20000000000002
184,2,749.88
6,2,986.07
1,1,638.45
243,1,389.84
122,3,2080.26
279,1,99.14
70,6,3623.94
337,1,304.56
302,1,77.50000000000001
303,1,176.68
4,21,14169.32
455,2,263.17
698,1,295.5
125,6,1149.04
220,3,394.1
251,1,12.75
245,1,111.68
2,13,299.25
122,2,471.7
10,10,1936.09
34,4,951.43
639,1,123.07
698,1,277.35
5,1,582.59
7,1,136.04
250,1,172.77
154,5,1606.56
667,1,353.19
61,1,288.14
455,1,300.91999999999996
244,1,253.17
158,1,198.57
338,1,13.370000000000001
38,3,371.24
283,1,76.1
65,4,1273.1
303,2,382.06
364,1,169.47
182,1,109.75
37,1,162.5
697,1,102.78999999999999
157,2,187.29
30,1,166.42
213,1,120.03
153,3,690.91
312,1,165.0
244,1,668.11
65,2,389.78
305,1,115.31
213,1,109.55
101,1,73.5
214,1,97.97
244,1,239.56
129,2,261.88
126,2,40.5
129,1,239.0
67,11,2012.22
486,1,316.46
213,4,747.37
278,5,2511.4900000000002
276,1,124.08
34,5,1213.91
193,2,485.92
96,10,1450.76
2,2,1092.41
455,1,258.95
158,1,247.44
157,4,1470.18
698,1,489.6
31,3,635.49
33,4,1051.81
189,1,138.19
217,1,593.35
37,1,841.4999999999999
275,1,135.4
698,1,303.9
69,1,101.34
305,1,852.8
92,1,167.67000000000002
3,6,5253.7
33,3,1841.92
220,1,633.0
40,1,374.75
154,1,148.66
217,4,1715.9
247,1,168.31
90,29,135953.04
303,1,754.64
303,1,113.48000000000002
5,15,4589.75
547,1,76.32000000000001
276,3,504.25
30,12,2385.45
517,1,181.12
97,1,111.15
126,1,649.85
4,3,759.42
122,1,323.47999999999996
61,1,197.85
62,1,206.82999999999998
68,1,112.55000000000001
30,1,455.90999999999997
36,1,931.4999999999999
60,4,558.26
6,2,495.34000000000003
128,2,1019.52
36,5,1202.85
281,1,76.65
38,2,549.68
153,1,153.3
182,1,178.7
578,1,206.23000000000002
2,1,343.8
39,1,530.15
184,2,630.22
303,1,399.65000000000003
244,1,390.6
70,2,457.65
62,1,202.65
183,2,629.01
1,3,787.34
5,10,3418.6
69,1,853.48
302,1,104.0
122,2,627.77
250,4,1590.81
163,2,545.8
2,3,940.75
69,1,312.8
251,1,304.25
216,1,238.35
122,7,2158.83
343,1,485.73
218,1,160.42000000000002
275,1,291.6
30,1,139.10000000000002
61,2,499.27000000000004
191,1,137.9
32,1,299.34000000000003
122,1,481.75
61,1,303.85
6,2,662.08
97,3,680.1800000000001
6,3,708.81
124,1,443.0
191,4,1505.88
162,3,799.1
33,5,2251.38
189,1,93.75
1,7,2397.7400000000002
61,4,1697.92
218,1,129.64000000000001
33,2,749.8
61,4,626.49
3,4,663.72
220,2,904.8100000000001
31,5,900.73
67,1,314.26
6,3,1395.63
94,2,804.02
312,1,349.27
32,1,103.3
276,2,532.38
486,1,376.30000000000007
101,1,557.07
216,1,224.8
157,2,811.4
248,1,488.55
486,1,168.6
334,1,171.20000000000002
4,3,1761.3600000000001
152,2,153.0
91,1,175.92
1,1,110.38
161,1,180.60000000000002
5,1,80.82
217,2,178.05
61,5,565.65
1,1,1001.3199999999999
